Dim.1,Dim.2,Dim.3,Dim.4,Dim.5,class
1.248988562,1.745076251,-4.50995099,1.93492421,0.438186134,YES
1.668452858,1.458259186,-0.772722278,-0.04635435,-0.473966305,YES
1.559075935,3.36836677,0.580789818,2.237963873,-0.191852054,YES
0.716352544,2.158971006,-1.106898031,-0.125830252,0.705422015,YES
0.836744515,2.591665085,-0.357361646,-0.247405819,-0.07829701,YES
1.001743152,2.011603704,-1.532980909,-0.32215017,-0.206083102,YES
3.198543648,1.125180126,2.39435171,0.099096241,-0.958744764,YES
1.83390767,0.449757317,-0.016824964,0.244413478,-0.714443971,YES
3.861177514,1.706776797,0.252489966,2.672835145,0.878424453,YES
2.527438779,0.973542224,-2.450424045,-1.290759937,-1.06695851,YES
1.139024544,1.692718281,-1.841730932,-0.113516931,-1.418640221,YES
0.270468311,1.457034393,-0.842616455,-0.24841349,-1.515101982,YES
5.315374973,2.341595676,-0.169300248,0.184308921,0.484737831,YES
2.460205189,4.089153129,-2.179055177,1.365464749,0.434724197,YES
0.875189879,1.721684516,-2.017798154,1.532955611,0.063466355,YES
2.310867133,2.277121194,-1.687842512,0.153950208,0.072258568,YES
1.338716506,2.078389159,-2.225765567,1.903701259,0.511393086,YES
0.931988635,0.738286522,-0.39883016,0.453507309,-0.594672897,YES
1.359625409,1.475991976,-0.387212785,0.555748635,-0.635848246,YES
1.811195831,1.765145382,-1.378315788,-0.823180765,-0.535623749,YES
2.144804341,0.967149104,0.405638702,-0.927771146,-0.93170301,YES
1.472092268,0.518222195,-0.803657128,-0.990341725,-1.339176387,YES
2.332330802,1.170414861,0.394710425,-0.923106823,-0.02872151,YES
1.160849392,1.54271488,-0.310337078,0.851756891,-0.622581326,YES
3.65614669,4.164294219,-2.457955262,-2.297068734,-0.21753511,YES
2.997952698,2.116484686,1.362791646,1.973962802,0.20493402,YES
5.302511719,2.8667786,-2.294291395,0.433287618,-0.620550023,YES
1.589310316,3.075817227,2.050381226,0.599476165,0.650853303,YES
1.089811298,1.68263382,0.180342796,-0.302699646,-0.984801766,YES
2.289894677,1.924969029,0.806461087,-2.316004108,-0.350768872,YES
-0.449057985,0.649013833,-0.592698453,-0.128400183,-0.759409804,YES
0.492774701,1.698869721,1.255508877,-0.401589662,-0.714036542,YES
2.156000933,1.319712793,1.416596404,2.277582072,0.939879852,YES
2.639672004,2.482021237,1.01593277,-0.246967181,0.602298775,YES
5.330119981,3.127576245,-2.93008827,-0.10220351,-3.778140789,YES
1.26282169,2.646114932,-0.327698266,-0.047067759,-0.331673813,YES
0.343288012,1.435487514,-0.424877388,-0.633151947,-0.146723592,YES
1.255877228,1.070842621,-1.590516872,0.35970444,0.887070281,YES
3.315425279,2.384583449,1.600856967,0.248985613,-3.430290254,YES
2.497504954,1.452442322,-2.536604841,-0.578677476,-0.424922159,YES
2.755653288,1.010116128,1.483533386,0.570429546,-0.256319264,YES
0.75559409,2.969600514,2.59728197,1.294669219,0.982265042,YES
2.610096467,2.163385881,-1.340308283,1.316975607,-0.347956273,YES
2.021846896,3.29810995,0.707100693,1.920896238,-0.011258399,YES
2.239350753,1.052846688,0.695934257,-0.176912307,-1.190134637,YES
3.481135839,1.370782991,-1.844805081,-1.844243071,1.010619385,YES
-0.081728563,2.056089219,-1.132492736,-0.300422644,-0.507477289,YES
2.700294033,2.72567201,-0.852868015,1.493059726,-0.24370531,YES
1.610876795,1.4296602,-1.195049297,-0.374038729,-1.422696084,YES
4.801453402,1.528943458,-1.40900154,3.301170819,0.228618486,YES
4.675630633,0.308024586,-1.51439852,-0.327985904,-2.261407685,YES
0.627836358,1.991278204,-0.437628222,-1.485909085,-0.536204205,YES
2.815933803,1.574927421,-0.505073059,-0.579997511,0.152852175,YES
1.570649198,0.724621526,-1.379474399,-1.923475119,-0.723992651,YES
2.835883557,3.105708766,-2.977284019,-1.562056947,-0.348627008,YES
1.773488988,0.830074284,0.335585142,-2.029636135,-1.00436234,YES
2.687915577,3.368489081,0.504319026,-1.275987938,1.829749511,YES
2.341539784,2.205114717,-0.819254098,-1.323396401,-1.035943387,YES
4.05159815,3.282827956,-1.35374839,2.002285002,0.220517854,YES
2.371790798,1.143229237,-2.416110766,0.535108921,-0.423916269,YES
1.619286906,2.261693036,-0.19057229,-1.455667264,-0.429959211,YES
2.104982072,1.062714469,1.160608306,0.235259752,-0.392770331,YES
0.147703263,4.664977586,-3.005281711,1.27463258,1.527056347,YES
2.952887797,0.197361946,1.272728809,0.719498155,-0.015848236,YES
1.46264126,2.821769902,1.017246266,0.953414794,-0.850048469,YES
1.788309114,1.386519122,-1.934665778,-1.441374587,-0.575011997,YES
4.543362962,2.662396193,1.962058114,-0.297332121,-3.205984636,YES
1.052310335,1.077780379,-0.488753606,-1.011209147,-1.344896464,YES
2.246845466,1.626086081,1.866599623,0.321940941,-0.684323073,YES
5.366687798,1.093612508,0.745770013,0.77084004,-3.666865919,YES
0.243603804,2.514358256,-0.940471448,0.172927779,0.261124982,YES
1.303636049,1.065685778,1.23098157,-0.226425656,-3.111914274,YES
-0.21639007,-0.222461637,0.13123007,-1.331658942,-1.086068514,YES
1.180825837,0.706262068,-0.328451051,-0.542434693,0.023856044,YES
1.042375081,0.197581961,-1.706208333,-1.609185775,-0.530634359,YES
0.457825104,0.442637397,0.546674863,-0.04188177,-1.177464155,YES
1.624582642,0.473202875,-1.537601651,-1.505847116,0.792938341,YES
2.155413426,1.497086264,0.57409929,0.177199668,-1.172366812,YES
1.656570643,2.466433655,-0.056010385,0.422851628,-0.257041641,YES
2.486606298,2.415999107,1.814421509,2.220791183,0.806074597,YES
0.455326327,0.746761888,-1.872958298,-0.998722455,1.098778612,YES
-0.320650743,-0.636028194,-0.590035288,-0.433242041,-1.074363602,YES
0.344029232,1.002864927,-0.84845626,-1.974009948,0.02176068,YES
0.641738649,-0.459265928,0.66742248,1.88567969,2.895462502,YES
1.138895757,2.792684822,-0.991143372,-0.503823265,0.604954034,YES
1.002721288,3.493230075,-1.614955532,1.401756138,-0.322036184,YES
1.177783676,0.909079763,0.836646722,-1.328987843,-0.471816548,YES
2.92140887,2.174313718,3.218715894,0.083697014,0.2748042,YES
0.81246114,0.711365746,0.033703528,-1.018613964,-0.416918199,YES
1.708638533,1.186577572,0.509643,1.880507357,1.919125205,YES
1.552920842,1.10458458,0.832515366,0.448650581,-0.114926091,YES
2.241504435,2.574194585,1.180175919,-0.153585246,0.591800775,YES
1.872084813,2.779202654,0.758554414,-0.621359809,-0.697138169,YES
2.658022371,0.572383791,0.443813873,0.430787242,-1.007032145,YES
1.831514026,0.772263304,1.272399913,-1.402171497,-1.099918147,YES
0.783565966,0.397313557,-0.981306897,-1.242273852,-1.516149288,YES
0.285583414,1.181372025,-1.266936724,-1.223417029,0.240551249,YES
0.435690949,2.473262812,-0.604547526,-0.785177863,1.196445906,YES
0.744120541,2.548510002,1.041995174,0.752087641,1.082381137,YES
1.350336814,1.596903712,0.558356071,1.000354343,0.080251122,YES
-0.263604867,1.481210403,-0.493143156,-0.83984612,-0.312705002,YES
1.118796994,0.527981007,-1.25023649,-2.578513323,0.671201837,YES
2.184484043,1.326301971,-0.877589248,1.629402511,1.030233214,YES
0.985824913,-0.497867831,-1.686147033,0.209719123,-0.737515735,YES
0.029926218,2.028473338,0.607942901,0.118889153,-0.278529265,YES
1.670004834,0.265877796,-0.172283656,-0.431672436,-0.462116735,YES
2.01571619,1.110888069,-0.861942924,1.544709187,1.227687477,YES
1.066132771,1.656124018,0.225565992,-0.494798786,0.99186907,YES
1.430830561,2.227743535,1.333607209,1.062268321,0.605262061,YES
0.480220228,0.844998191,1.170085207,1.010935559,0.57347365,YES
2.362852679,1.672135541,0.67789427,0.232556644,0.256508716,YES
1.887805423,1.447464722,0.190756858,-0.956636325,0.061586898,YES
1.895969885,0.657702614,-0.039925523,0.384109702,1.534685413,YES
0.566544188,0.809276821,1.960344609,0.809754014,-0.099991623,YES
1.183894712,1.461651538,0.823300761,-1.68477956,0.422600745,YES
1.608903562,0.537303127,-1.872166001,-1.413719557,-0.507348994,YES
1.176195523,1.364538096,0.077103683,-0.512207808,-0.31136471,YES
1.12302966,-0.311792917,-0.579665169,-2.403847153,-0.468733465,YES
1.624935181,1.883343152,2.609061339,-0.436335925,-0.065330237,YES
3.725860653,3.189674082,1.226025138,0.172877847,1.135540709,YES
0.062038103,2.298987741,0.72331169,-0.008945581,-0.11170946,YES
0.134508325,2.28749656,-0.107840716,0.091176786,0.220791987,YES
2.532615195,1.234848972,1.128727986,0.942115504,-0.026381798,YES
1.31809425,2.119209588,2.771316909,-0.311945966,0.425916178,YES
2.515599636,1.493551194,0.962253352,-0.832955691,-0.194013819,YES
1.597680819,1.249350809,1.845469667,-0.564445365,-1.367175862,YES
2.221039595,2.336213542,0.613586538,0.350677343,-0.411658281,YES
2.047356162,2.59028676,-0.12493872,-1.368177944,0.552665649,YES
2.344143488,0.699658906,1.39287824,-0.560705873,-0.165020539,YES
0.785078995,0.942764727,-0.905074988,-1.969437274,-0.889826881,YES
2.856909514,1.152175528,1.295439327,0.245142759,-0.100725668,YES
1.342950692,1.666836518,2.069811806,-0.886554786,1.096865234,YES
1.86221179,1.327214966,0.036223878,1.353859449,0.194121673,YES
2.684996725,0.021305319,0.941656949,-0.843025496,-0.832189606,YES
4.217306788,4.66148608,5.225280677,-1.349132703,2.71671931,YES
0.802549704,1.371428173,-0.366471402,-0.987474837,-0.072049698,YES
1.23187536,2.23173182,-0.53994047,0.812281905,1.978220185,YES
0.952167467,1.094386757,0.005866295,0.919236766,0.430649426,YES
0.74448551,1.162040857,2.574138446,-0.72391245,-0.745302982,YES
0.466687218,1.551891444,-0.035307757,-0.584538048,0.284147221,YES
0.518615603,0.473649657,-0.290688569,-0.794466458,0.065232863,YES
2.738852226,0.784221644,-0.439157053,-0.101967284,1.247803722,YES
1.010974577,3.383990428,1.965603036,0.840185128,0.145539816,YES
0.546498288,0.640194307,-0.047892472,-0.856331045,-0.49486123,YES
2.509152696,-0.801219823,1.740010812,0.181834063,-0.171167916,YES
3.018879233,2.664482985,0.156142611,-1.560534809,1.434542993,YES
2.183853814,1.265716158,0.460581485,-0.47421672,-0.308664376,YES
2.007770936,1.076438655,0.130130315,1.197476544,1.224907679,YES
0.463232914,0.439303072,-0.734274137,0.455297953,0.300376034,YES
0.156595049,2.389958844,0.220468082,-0.418182617,-0.311415325,YES
2.050947489,-0.408510477,-0.414434741,1.598515292,0.778901632,YES
2.419145603,3.336427896,-1.951886887,-0.579232686,-0.157641549,YES
1.972866016,0.967994459,-1.781764967,0.926374502,-0.577158261,YES
0.606845846,2.897619659,-3.322052205,0.694825391,0.917823359,YES
1.376478132,3.364605027,1.320053818,0.254200865,0.064528527,YES
-0.296511633,1.124116251,-1.543279068,-0.293063262,-0.234462605,YES
3.57638809,1.91248278,-0.761811345,-1.986395952,-0.453607589,YES
2.796853756,1.03017244,3.291445978,1.11645864,-1.244588215,YES
-0.991780215,0.977918755,-0.599653302,-0.16106419,-0.044224776,YES
0.987875923,-0.259185365,-1.789884064,-0.502011333,0.476250594,YES
1.651393856,2.22763568,-1.676738498,1.512194447,-0.013203498,YES
3.657057586,1.001031268,-2.644962615,2.401995772,0.846208149,YES
0.224573423,0.381236234,-0.33026475,-0.160043444,-0.469677418,YES
-0.061771997,3.285988952,-1.096318688,-1.101460029,1.507492977,YES
1.371640127,0.765229601,-0.016369651,0.504643326,-0.41618849,YES
0.000972757,2.134059142,-1.296880756,-0.045813365,0.564355281,YES
1.941786546,-0.256540041,-2.30587899,1.710563682,-0.298492546,YES
0.860365779,1.393100006,-1.645643166,0.731519792,-0.9927561,YES
-0.025240292,1.276514445,-0.659884818,-0.668601816,0.241805269,YES
0.492081098,1.449179712,-1.206850303,-0.339777436,0.27749888,YES
1.434971605,-0.117726296,-1.280029429,-0.799606712,-1.546605421,YES
1.219419629,1.405147627,-0.877390398,-1.542296061,0.345345111,YES
0.559474703,1.975847277,-0.274679692,0.067126445,-0.203159228,YES
0.659019674,0.746499727,-0.036676515,-0.303621022,0.130705109,YES
3.148401529,-0.659932619,-0.273028175,-0.542564014,-0.593609447,YES
-1.932825639,1.857638969,-3.954366383,0.579996666,1.034938429,YES
-1.397125298,2.476920542,-0.916901944,0.978367142,-0.366659374,YES
1.032100113,1.895886934,-1.305739476,2.072000067,0.487404604,YES
-0.385221947,0.858195408,-2.349042422,-1.418781476,-0.246023975,YES
-0.922817104,3.051550867,-2.485820704,1.521814168,1.453234837,YES
1.422612904,2.175883235,0.431915014,0.785619395,0.430549584,YES
0.019958893,-0.002187967,-1.246228555,-0.081285059,-0.533547187,YES
1.595142216,1.951316791,2.294559844,0.986247795,0.570944751,YES
1.796168292,1.672127599,1.015737049,0.930164482,0.042759938,YES
0.874184146,0.353417122,-1.559933114,-0.233509971,0.53553557,YES
3.435976695,1.802283329,-0.988743392,-0.657738615,0.252787461,YES
-0.094335769,2.605287058,-1.514075533,1.433215727,-0.209172229,YES
2.312304726,0.829608933,-1.090240274,0.390253022,-0.420926177,YES
1.112500698,1.575337476,-1.734815345,-0.51552715,-0.57274748,YES
1.285350417,1.305037816,-0.008772039,0.399787247,0.047609832,YES
1.879635954,1.307694017,-0.876537439,-0.872638453,0.519876204,YES
1.428764868,0.674133083,-1.013649344,0.300654825,-0.497927871,YES
0.838050488,0.16311135,-1.38504947,-1.532718649,-0.049691496,YES
2.069617616,0.710035117,-2.218710588,-2.013457975,-1.426027224,YES
2.453974176,1.620232066,-2.080253117,1.593733239,0.295872973,YES
2.533171275,0.56501464,-1.894406769,2.855381722,0.964836969,YES
1.23566374,0.837455281,-1.299215383,0.118366107,-0.932767074,YES
-0.998154916,1.690982739,-1.838796476,0.224045057,0.651119981,YES
-0.332217309,1.048039894,0.383704214,-0.84355736,-1.650971855,YES
1.844458234,-1.192022395,0.073321786,-1.232044861,-0.850215198,YES
0.070258671,0.774090501,-1.083459199,0.355986332,-1.149481775,YES
1.404685531,-0.762631096,-0.105280236,-0.548480967,-0.179855632,YES
1.648562841,-0.90263794,-0.876993913,-0.940973311,0.798500856,YES
1.518170042,0.828161812,1.013634331,0.603396741,-0.462522383,YES
1.387806803,2.962190239,-0.325648084,-1.164685837,0.643308968,YES
1.789032332,1.210517064,-1.111139917,0.931104732,-0.451594918,YES
1.330966776,1.291599655,-2.827105862,1.651451921,0.500713024,YES
0.540727218,1.130336341,-1.771838818,-0.11916739,0.66107813,YES
1.406363926,-0.073597711,-0.825146823,1.30879898,0.904033055,YES
-0.211834694,0.303879703,-1.400323114,-0.927291499,-0.809194729,YES
2.941668359,2.631543672,-1.49742048,-0.541310795,1.27523877,YES
0.392825287,1.644886477,-0.751064779,0.694292854,-0.13389928,YES
0.02615042,1.122704077,-1.80038222,1.066373623,0.275436608,YES
0.804290171,0.635447077,0.608716723,2.249956755,-0.229803365,YES
1.528798926,4.106670965,-2.016824532,1.357930415,0.783116471,YES
0.95263687,0.523277954,-1.722134052,0.998264878,0.864631091,YES
2.617018291,1.237844768,-2.321210228,-1.180091086,1.546792642,YES
1.214294151,1.13147297,-0.734883418,-0.813158663,-0.275803329,YES
0.142115382,0.939759518,-1.351551778,-0.211203484,0.424538846,YES
2.726068063,2.132521362,-0.781053968,2.348224062,0.687586061,YES
1.173681482,1.652265538,-1.272580103,-0.789742977,0.116829447,YES
2.227052319,1.148227163,1.348650206,-0.120515952,0.157993572,YES
0.661753167,0.004303978,-0.576488704,-2.008163502,-1.490388895,YES
-1.064543885,1.174583292,-1.336116844,-2.093800414,-0.798711071,YES
1.179768969,1.457360339,-1.60530289,-1.012411163,-1.227723713,YES
2.647160476,1.452802431,-2.15057178,-1.326398573,0.095713061,YES
1.854804685,1.475500621,-1.049267156,-2.074805984,-0.460848858,YES
0.603009254,0.263222748,-0.551444507,-1.279547426,0.417804708,YES
2.291386376,-0.137998918,-1.585471117,-0.174942907,-0.332501672,YES
0.946601312,-1.117174351,-1.120366429,0.631168246,-0.070484465,YES
1.594157669,1.236720914,-0.717217715,0.992508133,0.441109858,YES
1.189066684,0.691551525,-2.453217632,-0.001356277,1.343342354,YES
0.092443613,2.652777878,-0.700535389,-0.33931507,0.744275647,YES
-1.624308157,4.334373367,-0.68071394,1.698103095,0.342183869,YES
0.275456391,0.215223353,-1.664288102,0.169640348,0.127309382,YES
1.576552424,1.575255749,-0.839363504,-0.819065618,-0.337312185,YES
2.412184207,1.382508467,-1.844179673,-0.458002712,-1.043517926,YES
1.229052463,2.498118121,2.218148067,-0.346395223,0.182445529,YES
1.695530247,0.084143263,-1.651427985,-0.835130665,-0.956877131,YES
3.201298703,2.639283145,-2.478541268,-0.770539187,1.097159132,YES
0.643995147,0.96448254,0.579948716,-1.612848345,0.051745045,YES
-1.117888065,3.069783656,-3.90808755,0.459678768,0.129922387,YES
2.468944696,-0.236379606,0.097614832,1.5958681,0.579997249,YES
0.896454431,-0.444646102,-1.046950365,-0.659781209,-0.454650031,YES
0.340934765,1.286381844,-2.01121839,0.548936351,-0.089811406,YES
-0.562009074,0.580165369,-2.430155422,-0.687243773,-0.031978696,YES
1.203655487,0.61320777,0.334754675,-0.54423232,0.84196897,YES
3.271472887,1.482216946,-1.738782983,-2.189152662,-0.454838019,YES
-0.787266185,1.15847251,-0.170059997,-0.686163267,-0.811348171,YES
1.142424984,1.208366679,-0.899741706,-1.468450233,-0.228642545,YES
2.381983803,1.839377069,1.408566588,-0.424448101,0.048506216,YES
0.669187027,1.466223949,0.43149811,-0.299022662,-0.494972519,YES
-0.579420731,2.600217526,-0.026969795,-0.137021159,0.304621644,YES
0.820791973,2.861280278,-1.772673083,-0.691293269,1.517002603,YES
-0.768196753,-0.114659638,0.261681905,-0.547828391,-0.692964099,YES
1.484358876,3.18277806,0.54533812,-1.097924045,0.842482621,YES
0.562829015,0.638857487,-1.282543243,-1.100745669,0.362797577,YES
0.736673886,1.173827869,-1.941967691,-1.611260722,-0.475321284,YES
1.26779638,1.275996184,-0.881444125,0.581089817,-0.929452945,YES
-0.445811807,1.185387025,-0.455189385,-0.416315478,-0.24680746,YES
0.608613049,0.635131868,1.753191074,-1.659705657,-0.191992901,YES
2.40589184,1.141369933,0.405718889,-1.314505661,-0.915899326,YES
0.661320661,0.159710869,0.060736826,-0.556613127,-1.208602312,YES
-0.230322819,-0.013955539,0.266132112,0.053253681,-0.989854784,YES
0.31289989,2.564654887,0.232922086,0.581292792,0.62610154,YES
3.772603964,2.047766447,-1.52762704,-0.763324495,-0.627127265,YES
0.578287687,2.322875094,0.054336274,-1.481954096,0.010508391,YES
0.347460293,0.686474444,1.013636753,-1.570605702,0.106886758,YES
0.255988484,0.18316008,-1.188970489,-1.281827094,-0.289847954,YES
2.410872413,0.498711125,1.243862797,-0.217444211,-0.208293954,YES
0.359511891,3.264138373,-2.692269882,0.482563817,-0.558662032,YES
-0.863703665,1.640836104,0.115887864,-1.162271415,-0.147769861,YES
-0.667802785,-0.273815888,-1.631646868,-1.364688344,-0.595295955,YES
0.595629522,2.600528353,-1.800621318,-0.998723859,-0.129338173,YES
-0.979858455,3.548237942,-0.105208731,1.57854063,0.463835108,YES
1.509082856,2.477745756,-1.140252038,-0.709378591,-0.135360058,YES
0.009502511,2.033825175,-1.617512642,1.280127694,-0.420679979,YES
0.128081552,2.608603059,-0.53865251,-0.381678305,0.446018503,YES
0.775203861,1.12513021,-1.870732808,0.870242672,0.902321657,YES
0.121357416,1.452056423,0.378455109,-2.369962685,0.291821399,YES
2.309674767,2.890685898,1.588198452,-0.31506432,1.400253366,YES
-1.896757708,3.20437646,-2.886115865,-0.348569534,0.007794079,YES
